performance_link_id,performance_id,platform,link_type,url,title,start_seconds,duration_seconds,is_official,notes
performance-link-gd-1994-08-04-throwing-stones-2-11-archive-track,gd-1994-08-04-throwing-stones-2-11,archive,recording-track,https://archive.org/details/gd1994-08-04.147726.schoepsCMC5MK21.ebel.flac16/20%20Throwing%20Stones.mp3,Throwing Stones,,571,false,Track 20 of Internet Archive item gd1994-08-04.147726.schoepsCMC5MK21.ebel.flac16 (recording-archive-gd1994-08-04-147726-schoepscmc5mk21-ebel-flac16); file 20 Throwing Stones.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-08-04-uncle-john-s-band-2-6-archive-track,gd-1994-08-04-uncle-john-s-band-2-6,archive,recording-track,https://archive.org/details/gd1994-08-04.147726.schoepsCMC5MK21.ebel.flac16/15%20Uncle%20John%27s%20Band.mp3,Uncle John's Band,,609,false,Track 15 of Internet Archive item gd1994-08-04.147726.schoepsCMC5MK21.ebel.flac16 (recording-archive-gd1994-08-04-147726-schoepscmc5mk21-ebel-flac16); file 15 Uncle John's Band.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-08-04-way-to-go-home-2-4-archive-track,gd-1994-08-04-way-to-go-home-2-4,archive,recording-track,https://archive.org/details/gd1994-08-04.147726.schoepsCMC5MK21.ebel.flac16/13%20Way%20To%20Go%20Home.mp3,Way To Go Home,,388,false,Track 13 of Internet Archive item gd1994-08-04.147726.schoepsCMC5MK21.ebel.flac16 (recording-archive-gd1994-08-04-147726-schoepscmc5mk21-ebel-flac16); file 13 Way To Go Home.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-09-17-corrina-2-3-archive-track,gd-1994-09-17-corrina-2-3,archive,recording-track,https://archive.org/details/gd1994-09-17.sbd.miller.119979.flac16/gd94-09-17d2t04.mp3,Corrina ->,,563,false,Track 12 of Internet Archive item gd1994-09-17.sbd.miller.119979.flac16 (recording-archive-gd1994-09-17-sbd-miller-119979-flac16); file gd94-09-17d2t04.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-09-17-don-t-ease-me-in-1-8-archive-track,gd-1994-09-17-don-t-ease-me-in-1-8,archive,recording-track,https://archive.org/details/gd1994-09-17.sbd.miller.119979.flac16/gd94-09-17d1t08.mp3,Don't Ease Me In,,190,false,Track 8 of Internet Archive item gd1994-09-17.sbd.miller.119979.flac16 (recording-archive-gd1994-09-17-sbd-miller-119979-flac16); file gd94-09-17d1t08.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-09-17-drums-2-6-archive-track,gd-1994-09-17-drums-2-6,archive,recording-track,https://archive.org/details/gd1994-09-17.sbd.miller.119979.flac16/gd94-09-17d2t06.mp3,Drums ->,,848,false,Track 14 of Internet Archive item gd1994-09-17.sbd.miller.119979.flac16 (recording-archive-gd1994-09-17-sbd-miller-119979-flac16); file gd94-09-17d2t06.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-09-17-eternity-1-7-archive-track,gd-1994-09-17-eternity-1-7,archive,recording-track,https://archive.org/details/gd1994-09-17.sbd.miller.119979.flac16/gd94-09-17d1t07.mp3,Eternity ->,,545,false,Track 7 of Internet Archive item gd1994-09-17.sbd.miller.119979.flac16 (recording-archive-gd1994-09-17-sbd-miller-119979-flac16); file gd94-09-17d1t07.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-09-17-i-need-a-miracle-2-8-archive-track,gd-1994-09-17-i-need-a-miracle-2-8,archive,recording-track,https://archive.org/details/gd1994-09-17.sbd.miller.119979.flac16/gd94-09-17d3t02.mp3,I Need A Miracle ->,,277,false,Track 16 of Internet Archive item gd1994-09-17.sbd.miller.119979.flac16 (recording-archive-gd1994-09-17-sbd-miller-119979-flac16); file gd94-09-17d3t02.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-09-17-it-s-all-over-now-baby-blue-3-1-archive-track,gd-1994-09-17-it-s-all-over-now-baby-blue-3-1,archive,recording-track,https://archive.org/details/gd1994-09-17.sbd.miller.119979.flac16/gd94-09-17d3t05.mp3,"It's All Over Now, Baby Blue",,377,false,Track 19 of Internet Archive item gd1994-09-17.sbd.miller.119979.flac16 (recording-archive-gd1994-09-17-sbd-miller-119979-flac16); file gd94-09-17d3t05.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-09-17-jack-straw-1-1-archive-track,gd-1994-09-17-jack-straw-1-1,archive,recording-track,https://archive.org/details/gd1994-09-17.sbd.miller.119979.flac16/gd94-09-17d1t01.mp3,Jack Straw ->,,355,false,Track 1 of Internet Archive item gd1994-09-17.sbd.miller.119979.flac16 (recording-archive-gd1994-09-17-sbd-miller-119979-flac16); file gd94-09-17d1t01.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-09-17-one-more-saturday-night-2-10-archive-track,gd-1994-09-17-one-more-saturday-night-2-10,archive,recording-track,https://archive.org/details/gd1994-09-17.sbd.miller.119979.flac16/gd94-09-17d3t04.mp3,One More Saturday Night,,342,false,Track 18 of Internet Archive item gd1994-09-17.sbd.miller.119979.flac16 (recording-archive-gd1994-09-17-sbd-miller-119979-flac16); file gd94-09-17d3t04.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-09-17-peggy-o-1-2-archive-track,gd-1994-09-17-peggy-o-1-2,archive,recording-track,https://archive.org/details/gd1994-09-17.sbd.miller.119979.flac16/gd94-09-17d1t02.mp3,Peggy-O,,406,false,Track 2 of Internet Archive item gd1994-09-17.sbd.miller.119979.flac16 (recording-archive-gd1994-09-17-sbd-miller-119979-flac16); file gd94-09-17d1t02.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-09-17-playing-in-the-band-2-1-archive-track,gd-1994-09-17-playing-in-the-band-2-1,archive,recording-track,https://archive.org/details/gd1994-09-17.sbd.miller.119979.flac16/gd94-09-17d2t02.mp3,Playing In The Band ->,,592,false,Track 10 of Internet Archive item gd1994-09-17.sbd.miller.119979.flac16 (recording-archive-gd1994-09-17-sbd-miller-119979-flac16); file gd94-09-17d2t02.mp3. Derived from preserved representative item metadata; no audio retrieved.
