song_id,title,writers,signal,original_artist,evidence_url,decision
song-knockin-on-heaven-s-door,Knockin' On Heaven's Door,,no_writer_data,,,held
song-la-bamba,La Bamba,person-ritchie-valens,non_family_writer,,,held
song-lazy-lightning,Lazy Lightning,,no_writer_data,,,held
song-lazy-river-road,Lazy River Road,,no_writer_data,,,held
song-let-it-grow,Let It Grow,,no_writer_data,,,held
song-let-it-rock,Let It Rock,,no_writer_data,,,held
song-let-me-in,Let Me In,person-yvonne-baker;person-yvonne-baker,non_family_writer,,,held
song-let-me-sing-your-blues-away,Let Me Sing Your Blues Away,,no_writer_data,,,held
song-let-the-good-times-roll,Let The Good Times Roll,,no_writer_data,,,held
song-liberty,Liberty,,no_writer_data,,,held
song-like-a-rolling-stone,Like A Rolling Stone,,no_writer_data,,,held
song-lindy,Lindy,,no_writer_data,,,held
song-little-red-rooster,Little Red Rooster,,no_writer_data,,,held
song-little-sadie,Little Sadie,,no_writer_data,,,held
song-little-star,Little Star,,no_writer_data,,,held
song-long-black-limousine,Long Black Limousine,person-bobby-george;person-vern-stovall,non_family_writer,,,held
song-look-on-yonder-s-wall,Look On Yonder's Wall,,no_writer_data,,,held
song-looks-like-rain,Looks Like Rain,,no_writer_data,,,held
song-loose-lucy,Loose Lucy,,no_writer_data,,,held
song-lost-sailor,Lost Sailor,,no_writer_data,,,held
song-louie-louie,Louie Louie,person-richard-berry;person-richard-berry,non_family_writer,,,held
song-love-the-one-you-re-with,Love The One You're With,,no_writer_data,,,held
song-lucy-in-the-sky-with-diamonds,Lucy In The Sky With Diamonds,,no_writer_data,,,held
song-mack-the-knife-tease,Mack The Knife Tease,,no_writer_data,,,held
song-maggie-s-farm,Maggie's Farm,,no_writer_data,,,held
song-mama-tried,Mama Tried,person-merle-haggard;person-merle-haggard,non_family_writer,,,held
song-man-smart-woman-smarter,Man Smart (Woman Smarter),,no_writer_data,,,held
song-mannish-boy-i-m-a-man,Mannish Boy (I'm A Man),,no_writer_data,,,held
song-matilda,Matilda,,no_writer_data,,,held
song-maybe-you-know,Maybe You Know,,no_writer_data,,,held
song-me-and-bobby-mcgee,Me And Bobby McGee,person-fred-foster;person-fred-foster;person-kris-kristofferson;person-kris-kristofferson,non_family_writer,,,held
song-me-and-my-uncle,Me And My Uncle,person-john-phillips;person-john-phillips,non_family_writer,,,held
song-mean-woman-blues,Mean Woman Blues,,no_writer_data,,,held
song-midnight-hour,Midnight Hour,person-alex-ridha;person-ant-clemons;person-ayo-the-producer;person-cassandra-ventura;person-christian-ward;person-isaac-earl-bynum;person-james-foye-iii;person-jt;person-lil-yachty;person-ryan-leslie;person-skrillex;person-ty-dolla-ign,non_family_writer,,,held
song-might-as-well,Might As Well,,no_writer_data,,,held
song-mind-left-body-jam,Mind Left Body Jam,,no_writer_data,,,held
song-mindbender,Mindbender,,no_writer_data,,,held
song-minglewood-blues,Minglewood Blues,person-noah-lewis,non_family_writer,,,held
song-mission-in-the-rain,Mission In The Rain,,no_writer_data,,,held
song-mississippi-half-step,Mississippi Half Step,,no_writer_data,,,held
song-mona,Mona,person-bo-diddley;person-bo-diddley,non_family_writer,,,held
song-money-money,Money Money,,no_writer_data,,,held
song-monkey-and-the-engineer,Monkey And The Engineer,,no_writer_data,,,held
song-morning-dew,Morning Dew,person-bonnie-dobson;person-bonnie-dobson;person-bonnie-dobson;person-tim-rose,non_family_writer,,,held
song-mountain-jam,Mountain Jam,person-berry-oakley;person-butch-trucks;person-dickey-betts;person-donovan;person-duane-allman;person-gregg-allman;person-jai-johanny-johanson,non_family_writer,,,held
song-mountains-of-the-moon,Mountains Of The Moon,,no_writer_data,,,held
song-muddy-water,Muddy Water,person-harry-richman;person-jo-trent;person-peter-de-rose,non_family_writer,,,held
song-my-babe,My Babe,person-willie-dixon,non_family_writer,,,held
song-my-baby-left-me,My Baby Left Me,,no_writer_data,,,held
song-my-brother-esau,My Brother Esau,,no_writer_data,,,held
song-my-own-fault,My Own Fault,,no_writer_data,,,held
song-mystery-train,Mystery Train,person-junior-parker;person-sam-phillips,non_family_writer,,,held
song-neighborhood-girls,Neighborhood Girls,,no_writer_data,,,held
song-new-orleans,New Orleans,person-frank-guida;person-joseph-royster,non_family_writer,,,held
song-new-potato-caboose,New Potato Caboose,,no_writer_data,,,held
song-next-time-you-see-me,Next Time You See Me,person-earl-forest;person-william-g-harvey,non_family_writer,,,held
song-nobody-s-fault-but-mine,Nobody's Fault But Mine,,no_writer_data,,,held
song-non-improvisation,Non-Improvisation,,no_writer_data,,,held
song-not-fade-away,Not Fade Away,person-buddy-holly;person-norman-petty,non_family_writer,,,held
song-ode-for-billie-dean,Ode For Billie Dean,person-jorma-kaukonen;person-jorma-kaukonen,non_family_writer,,,held
song-oh-babe-it-ain-t-no-lie,"Oh Babe, It Ain't No Lie",,no_writer_data,,,held
song-oh-boy,Oh Boy,person-bill-tilghman;person-norman-petty;person-sonny-west,non_family_writer,,,held
song-okie-from-muskogee,Okie From Muskogee,person-merle-haggard;person-roy-burris,non_family_writer,,,held
song-old-old-house,Old Old House,person-george-jones;person-hal-bynum,non_family_writer,,,held
song-ollin-arageed,Ollin Arageed,,no_writer_data,,,held
song-on-the-road-again,On The Road Again,,no_writer_data,,,held
song-one-kind-favor,One Kind Favor,,no_writer_data,,,held
song-only-a-fool,Only A Fool,,no_writer_data,,,held
song-operator,Operator,person-bob-elgin;person-kay-rogers;person-ray-jones,non_family_writer,,,held
song-pain-in-my-heart,Pain In My Heart,,no_writer_data,,,held
song-parchman-farm,Parchman Farm,,no_writer_data,,,held
song-passenger,Passenger,,no_writer_data,,,held
song-peggy-o,Peggy-O,,no_writer_data,,,held
song-picasso-moon,Picasso Moon,,no_writer_data,,,held
song-playing-in-the-band-reprise,Playing In The Band Reprise,,no_writer_data,,,held
song-promised-land,Promised Land,person-chuck-berry;person-chuck-berry,non_family_writer,,,held
song-proud-mary,Proud Mary,,no_writer_data,,,held
song-queen-jane-approximately,Queen Jane Approximately,,no_writer_data,,,held
song-quinn-the-eskimo,Quinn The Eskimo,,no_writer_data,,,held
song-rain,Rain,,no_writer_data,,,held
song-rainy-day-women-12-and-35,Rainy Day Women #12 and 35,,no_writer_data,,,held
song-reuben-and-cherise,Reuben And Cherise,,no_writer_data,,,held
song-revolution,Revolution,,no_writer_data,,,held
song-revolutionary-hamstrung-blues,Revolutionary Hamstrung Blues,,no_writer_data,,,held
song-riot-in-cell-block-9,Riot In Cell Block #9,person-jerry-leiber;person-mike-stoller,non_family_writer,,,held
song-rip-it-up,Rip It Up,,no_writer_data,,,held
song-river-deep-mountain-high,"River Deep, Mountain High",,no_writer_data,,,held
song-roberta,Roberta,,no_writer_data,,,held
song-rockin-pneumonia,Rockin' Pneumonia,,no_writer_data,,,held
song-rollin-and-tumblin,Rollin' And Tumblin',,no_writer_data,,,held
song-rosa-lee-mcfall,Rosa Lee McFall,person-charlie-monroe;person-charlie-monroe,non_family_writer,,,held
song-rosemary,Rosemary,,no_writer_data,,,held
song-row-jimmy,Row Jimmy,,no_writer_data,,,held
song-run-rudolph-run,Run Rudolph Run,person-johnny-marks;person-marvin-brodie,non_family_writer,,,held
song-sage-and-spirit,Sage And Spirit,,no_writer_data,,,held
song-saint-of-circumstance,Saint Of Circumstance,,no_writer_data,,,held
song-saint-stephen,Saint Stephen,,no_writer_data,,,held
song-salt-lake-city,Salt Lake City,,no_writer_data,,,held
song-samba-in-the-rain,Samba In The Rain,,no_writer_data,,,held
song-samson-and-delilah,Samson And Delilah,,no_writer_data,,,held
song-satisfaction,Satisfaction,,no_writer_data,,,held
song-sawmill,Sawmill,person-mel-tillis,non_family_writer,,,held
song-scarlet-begonias,Scarlet Begonias,,no_writer_data,,,held
song-searchin,Searchin',person-jerry-leiber;person-mike-stoller,non_family_writer,,,held
song-seasons-of-my-heart,Seasons Of My Heart,person-darrell-edwards;person-george-jones,non_family_writer,,,held
song-seastones,Seastones,,no_writer_data,,,held
song-shakedown-street,Shakedown Street,,no_writer_data,,,held
song-she-belongs-to-me,She Belongs To Me,,no_writer_data,,,held
song-she-s-mine,She's Mine,person-george-jones;person-jack-ripley,non_family_writer,,,held
song-ship-of-fools,Ship Of Fools,,no_writer_data,,,held
song-sick-and-tired,Sick And Tired,,no_writer_data,,,held
song-sidewalks-of-new-york,Sidewalks Of New York,,no_writer_data,,,held
song-silver-threads-and-golden-needles,Silver Threads And Golden Needles,person-dick-reynolds;person-jack-rhodes,non_family_writer,,,held
song-sing-me-back-home,Sing Me Back Home,person-merle-haggard;person-merle-haggard,non_family_writer,,,held
song-sitting-on-top-of-the-world,Sitting On Top Of The World,person-lonnie-chatmon;person-walter-jacobs,non_family_writer,,,held
song-sleigh-ride,Sleigh Ride,,no_writer_data,,,held
song-slewfoot,Slewfoot,,no_writer_data,,,held
song-slipknot,Slipknot!,,no_writer_data,,,held
song-smokestack-lightning,Smokestack Lightning,person-howlin-wolf;person-howlin-wolf,non_family_writer,,,held
song-so-many-roads,So Many Roads,,no_writer_data,,,held
song-so-sad-to-see-good-love-go-bad,So Sad (To See Good Love Go Bad),,no_writer_data,,,held
song-so-what,So What?,,no_writer_data,,,held
song-space,Space,,no_writer_data,,,held
song-spoonful,Spoonful,,no_writer_data,,,held
song-stagger-lee,Stagger Lee,,no_writer_data,,,held
song-stander-on-the-mountain,Stander On The Mountain,,no_writer_data,,,held
song-standing-on-the-corner,Standing On The Corner,,no_writer_data,,,held
song-standing-on-the-moon,Standing On The Moon,,no_writer_data,,,held
song-star-spangled-banner,Star Spangled Banner,,no_writer_data,,,held
song-start-me-up,Start Me Up,,no_writer_data,,,held
song-stayin-alive-jam,Stayin' Alive Jam,,no_writer_data,,,held
song-stealin,Stealin',,no_writer_data,,,held
song-stir-it-up,Stir It Up,,no_writer_data,,,held
song-stronger-than-dirt,Stronger Than Dirt,,no_writer_data,,,held
song-stuck-inside-of-mobile-with-the-memphis-blues-again,Stuck Inside Of Mobile With The Memphis Blues Again,,no_writer_data,,,held
song-sunrise,Sunrise,,no_writer_data,,,held
song-sunshine-daydream,Sunshine Daydream,,no_writer_data,,,held
song-supplication,Supplication,,no_writer_data,,,held
song-swing-low-sweet-chariot,"Swing Low, Sweet Chariot",person-wallace-willis;person-wallace-willis,non_family_writer,,,held
song-take-me-to-the-river,Take Me To The River,,no_writer_data,,,held
song-tastebud,Tastebud,,no_writer_data,,,held
song-tell-it-to-me,Tell It To Me,person-kathleen-brennan;person-tom-waits,non_family_writer,,,held
song-tell-mama,Tell Mama,,no_writer_data,,,held
song-terrapin-station,Terrapin Station,,no_writer_data,,,held
song-that-s-alright-mama,That's Alright Mama,,no_writer_data,,,held
song-that-would-be-something,That Would Be Something,,no_writer_data,,,held
song-the-days-between,The Days Between,,no_writer_data,,,held
song-the-last-time,The Last Time,,no_writer_data,,,held
song-the-music-never-stopped,The Music Never Stopped,,no_writer_data,,,held
song-the-only-time-is-now,The Only Time Is Now,,no_writer_data,,,held
song-the-race-is-on,The Race Is On,,no_writer_data,,,held
song-the-rub,The Rub,person-aleister-x,non_family_writer,,,held
song-the-same-thing,The Same Thing,person-willie-dixon;person-willie-dixon,non_family_writer,,,held
song-the-seven,The Seven,person-les-claypool;person-les-claypool,non_family_writer,,,held
song-the-weight,The Weight,,no_writer_data,,,held
song-the-wheel,The Wheel,,no_writer_data,,,held
song-there-s-something-on-your-mind,There's Something On Your Mind,,no_writer_data,,,held
song-they-love-each-other,They Love Each Other,,no_writer_data,,,held
song-thirty-days-to-come-back-home,Thirty Days (To Come Back Home),,no_writer_data,,,held
song-throwing-stones,Throwing Stones,,no_writer_data,,,held
song-tomorrow-is-forever,Tomorrow Is Forever,,no_writer_data,,,held
song-tomorrow-never-knows,Tomorrow Never Knows,,no_writer_data,,,held
song-tons-of-steel,Tons Of Steel,,no_writer_data,,,held
song-touch-of-grey,Touch Of Grey,,no_writer_data,,,held
song-tough-mama,Tough Mama,,no_writer_data,,,held
